preferredLabel;altLabels
chief technology officer;CTO
computer scientist;ICT researcher
computer hardware engineer;computer hardware developer
computer hardware engineer;computer equipment engineer
test technician hardware;test technician
carpenter;cabinetmaker
ICT application configurator;application developer
claims handler;motor claims handler
claims correspondent;insurance expert
team leader in fast food restaurants and snack bars;manager restaurant with fast service
fast food employee;fast food assistant
restaurant manager;food and beverage service manager
accommodation manager;manager of catering establishment
bed and breakfast keeper;bed and breakfast keeper
receptionist;reception manager
public service manager;first employee catering industry
revenue manager;revenue manager
wedding planner;wedding planner
waiter/waitress; bar assistant
train steward/train stewardess;train steward
sommelier;maître-sommelier
beer sommelier;beer expert
wine sommelier;oenologist
maître d'hôtel;hotel manager
host/hostess;restaurant manager
head sommelier;wine waiter
kitchen assistant;dishwasher
private chef;temporary chef
chef;chef de cuisine
head chef;chef
porter;hotel porter
hotel porter;luggage handler
security guard;security officer
catering establishment receptionist;front office assistant
meals assistant;cabin assistant aircraft meals
masseur;sports masseuse
project manager;project manager
mediator;mediator
Social Investigator;Claims Assessor (social insurance)
assistant accountant;accounting management assistant
embedded systems designer;embedded software engineer
embedded systems software developer;embedded software designer
management assistant;executive assistant
socio-cultural worker specialising in community work;community worker
addiction counsellor;addiction consultant
retailer;retailer
eBusiness manager;eBusiness development manager
ICT information manager;IT information manager
chief information officer;CIO
chief data officer;chief information officer
complementary therapist;holistic health therapist
traditional Chinese medicine therapist;garden therapist
kinesiologist;movement scientist
herbalist;herbal medicine therapist
aromatherapist;aromatherapy relaxation therapist
massage therapist;shiatsu masseuse
shiatsu practitioner;finger pressure therapist
ict consultant;software consultant
surveillance and security officer;community warden
airport security officer;airport security officer
company security guard;company security guard
ict system integration consultant;ict integration consultant
green ict consultant;green IT consultant
security guard intervention after alarm;security guard intervention after alarm
casino cashier;casino cashier
relationship mediator;relationship consultant
shop assistant;security guard
security officer transporting money and valuables;security guard transporting money and valuables
cash and valuables transporter;cash and valuables transport driver
ICT operations manager;systems and network manager
control room switchboard operator;calltaker
ICT project manager;it project manager
bodyguard;personal security officer
secondary school teacher;secondary school teacher
services manager;business services manager
ict network architect;network engineer
security coordinator;chief security officer
manager security non-public part airport;head of airport security
data warehouse designer;data warehouse engineer
lieutenant;sub-lieutenant
army captain;major
general;major general
major;officer royal army
brigadier general;brigadier-general
colonel;lieutenant colonel
sergeant;second master
ict system architect;network engineer
software manager;ICT applications manager
system developer;IT system developer
security expert;security officer
video designer;video developer
digital artist;computer artist
digital games designer;computer game programmer
digital media designer;multimedia designer
bioinformatician;bioinformatician studies, research and development
digital games developer;computer game designer
software developer;application developer
ict application developer;software designer
squadron commander;commander
officer;professional army officer
fireman;firewoman
web developer;back-end developer
fire master;regional commander/director fire brigade
company fireman;company fire watchman
guard juvenile institution;guard juvenile institution
prison officer;penitentiary security assistant
ethical hacker;cyber vulnerability analyst
ICT security administrator;ICT security specialist
ICT security technician;ICT security specialist
head of ict security;chief information security officer
ict resilience manager;vulnerability manager
ict security manager;ICT security manager
ict network engineer;network configurator
ict capacity planner;ICT performance manager
dentist specialist;prosthodontist
ship electrician;shipbuilding electrician
system analyst;system analyst
aircraft maintenance engineer;aircraft maintenance mechanic
integration engineer;ict system engineer
marine engine mechanic;marine engine mechanic
marine electronics engineer;marine electronics engineer
ICT quality manager;ICT quality manager
test analyst;software test designer
avionics technician;avionics technician
software tester;unit tester
games tester;computer game tester
ict accessibility tester;usability tester
ict integration tester;SIT tester
ict system tester;system tester
ict usability tester;accessibility tester
director of a prison;head of a penitentiary institution
human resources assistant
police officer;policeman
warehouse employee;warehouse assistant
dental assistant;dental assistant
laundry assistant;industrial laundry assistant
technical investigator;forensic-technical investigator
tactical detective;tactical investigator
chief inspector;police inspector
user interface designer;usability engineer
user experience analyst;usability analyst
user interface developer;user interface designer
chief of police;commissioner of police
pump operator;pump operator
fireman at water;employee ship firefighting
fire engine driver;fire engine driver
system configurator;system configurator
fire safety inspector;fire expert
government licensing officer;licensing authority
chief fire officer;fire brigade commander
prevention consultant;HSE consultant
employment agency manager;employment agency manager
fire safety engineer;fire safety engineer
ict system administrator;system administrator
declarant;customs agent
judge;criminal judge
lawyer;management lawyer
ICT helpdesk manager;it helpdesk manager
data centre employee;POP employee
helpdesk assistant;it helpdesk assistant
computer repairer;computer repairer
officer naval service;sheriff at night
air force pilot;air force pilot
maternity nurse;lactation expert
intelligence and security officer;cryptanalyst
engineer defence;officer technical service
military administration officer;non-commissioned officer administration
webmaster;website adminstrator
ICT technician;ict techician it technician
physiologist;pathologist-anatomist
mobile app developer;app developer
admiral;naval captain
public prosecutor;public prosecutor
higher education teacher;higher education teacher
climatologist;climatologist
geologist;geologist
environmental geologist;environmental geologist
seismologist;seismological researcher
exploration geologist;oil and gas geologist
geochemist;chemical geologist
hydrogeologist;hydrogeological consultant
mineralogist;mining geologist
oceanographer;meteorologist-oceanographer
palaeontologist;paleoecologist
geophysicist;seismologist
mineralogist;scientific researcher mineralogy
geographer;geographer
demographer;scientific researcher demography
planner;spatial planner
linguist;philologist
lexicographer;lexicographer
financial planner;private financial adviser
mortgage broker;manager of mortgages
bank manager;manager of bank branch
director cooperative bank;manager cooperative bank
merchant bank manager;corporate banking services account manager
private banker;responsible bank relations
manager bank products;product manager banks
central bank governor;central bank president
assistant underwriter;assistant underwriter
insurance underwriter;underwriter
property liability insurance underwriter;property underwriter
astronomer;researcher in astronomy
cosmologist;theoretical astronomer
insurance agent;insurance consultant
head of insurance agency;funeral insurance manager
sociologist;sociologist
biologist;ecologist
aquaculture biologist;aquaculture expert
biomedical science specialist;biomedical technologist
toxicologist;toxicologist
plant products specialist;plant products technician
microbiologist;routine microbiology analyst
insurance administrative assistant;administrative assistant at an insurance office
assistant actuary;candidate actuary
insurance premium analyst;actuarial analyst
civil engineer;building physics consultant
manager business services;manager business services
administrative assistant educational institution;administrative assistant educational institution
fundraising assistant;fundraising assistant
coordinator international student exchange;coordinator international student exchange
Membership administration officer; membership administration officer
administrative assistant secretariat;administrative assistant secretariat
anthropologist;anthropologist
specialised veterinarian;farm animal veterinarian
administrative officer legal secretariat;notarial secretary
insolvency assistant;bankruptcy specialist
legal assistant;legal assistant
notary clerk;notary assistant
drafter of deeds of transfer;notary clerk
philosopher;philosopher
researcher in thanatology;thanatologist
epidemiologist;epidemiologist
immunologist;research analyst immunology
geneticist;medical specialist embryology
facade cleaner;building cleaner (exterior)
historian;historian
genealogist;genealogist
foreman concrete finisher;concrete floor finisher
concrete finisher;formworker
garden sales specialist;florist
environmental protection scientist;environmental protection manager
environmental scientist;agricultural and environmental researcher
air pollution analyst;sampler
ecologist;ecologist
physicist;clinical physicist
biophysicist;biotechnologist
political scientist;political scientist
architectural draftsman;construction draftsman
CAD designer;CAD specialist
food biotechnologist;food technologist
communications infrastructure service engineer;communications infrastructure technician
telecommunications technician;telecommunications technician
social sciences researcher;social scientist
psychologist;psychologist
steel construction mechanic;steel construction worker
construction engineer;civil engineering designer
instrumentation engineer;instrumentation engineer mining
instrumentation engineer;instrumentation controller
technical engineer microelectronics;engineer microelectronics
electric installation engineer;electrician
technical electrician;electricity and electronics designer
chemist;medical chemist
analytical chemist;analytical chemist
biochemist;biotechnologist
electronics draughtsman;electrical installation draughtsman
flower retail manager;flower retail manager
criminologist;criminologist
electronics engineer;electronics designer
PCB designer;electronic schematic designer
microelectronics engineer;microelectronics engineer
integrated circuit designer;integrated circuit designer
AOI operator;AOI operator
electronic equipment assembler;assistant electronic components assembler
SMT machine operator;pick and place machine operator
operator wave soldering machine;operator wave soldering machine
Electrical engineer;electric installations engineer
Electromechanical engineer;Electrical engineer
consumer electronics technician;electronic appliance repairer
electricity network engineer;electricity network engineer
cable technician;underground pipe technician
public lighting technician;public lighting technician
industrial production manager;industrial production manager
industrial automation engineer;automation engineer
building cleaner;cleaner
furniture cleaner;furniture cleaner
telecommunications engineer;telecommunications engineer
architect;urban planning architect
scientific researcher religious studies;religious scientist
building inspector;technical inspector of buildings
electrical engineer;assistant inspector for electrical installations
traffic engineer;traffic engineering consultant
building quality inspector;site safety supervisor
fibreglass lamination operator;fibreglass technician
communications scientist;scientific researcher communications
aircraft cleaner;aircraft cleaner
train cleaner;train interior cleaner
marine engine tester;marine engine inspector
marine engine assembly technician;outboard engine mechanic
insulation team leader;foreman insulation works
insulator;installer of insulation
ceiling fitter;ceiling fitter
urban planner;urban planner
telecom equipment maintenance engineer;telecom technician
bricklayer;masonry contractor
chimney sweep foreman;master chimney sweep
telecommunications engineer;telecommunications manager
main building contractor;site manager public works
roofing foreman;chief roofing engineer
gritblaster;machine polisher
carpentry supervisor;cooperating foreman building carpenter
building site operative;building site cleaner
bricklayer foreman;bricklayer
calculator;calculation engineer
production cost estimator;production cost calculator
painter construction;industrial painter
property acquisition manager;property acquisition manager
construction developer;housing development manager
building quality manager;construction and public works safety engineer
housekeeper;caretaker
interior caretaker;private household cleaner
linen room assistant;linen room assistant
toilet attendant;toilet lady
amusement park cleaner;cleaning lady in amusement park
rubbish collector;rubbish collector
street sweeper;environmental worker
waste disposal supervisor;waste sorting supervisor
laundry foreman;laundry manager
art director;production designer
production designer;scenographer
graphic designer;advertising designer
industrial designer;industrial designer
lighting designer performance;lighting designer
sculptor;sculptress
set designer;set designer theatre
metalworker-smith;welder
civil engineering craftsman;civil engineering worker
Gardener;landscaper
veneer cutting machine operator;veneer cutting machine operator
trimming machine operator;trimming machine operator
prepress assistant;prepress assistant
furniture maker;bed maker
furniture assembly assistant;wood furniture assembly assistant
metal furniture machine operator;metal furniture assembly assistant
picture editor;photo editor
journalist;reporter
head of publications;print manager
reviewer;art reviewer
car glass repairer;car glass repairer
bicycle mechanic;scooter mechanic
editor-in-chief;proofreader
car garage manager;car garage manager
car mechanic;car technician
first car mechanic;first car technician
paint sprayer;spray painter
sports and exercise director;exercise director
graphic setter;photo setter
specialised physiotherapist;respiratory therapist
radio diagnostician;MRI lab technician
editor broadcasting;radio editor
lithographer;chromolithographer
music arranger;arranger
artistic director;artistic director
CNC programmer;numerical tool maker
CNC machine operator;CNC drill
woodworking machine: turner;wood lathe operator
composer;composer
wood industry production manager;foreman in woodworking workshop
corporal;chief corporal
explosives disposal operator;mine disposal operator
infantry soldier;infantryman
podiatrist;chiropodist
agricultural mechanic;agricultural machinery maintenance technician
civil engineering technician;civil engineering technician
garden architect;garden and landscape architect
photojournalist;press photographer
wood veneer quality controller;wood laminate inspector
wood quality controller;wood inspector
wood composite quality controller;wood composite inspector
wood dryer;wood drying plant operator
chief editor of a magazine;chief editor of a weekly magazine
chief editor newspaper;chief editor daily newspaper
chief editor;chief editor
employee weed control;employee weed control
wood preserver;wood handler
timber merchant;timber merchant
wood industry manager;wood industry production manager
postman;post deliveryman
horticultural foreman;greenhouse manager
sterilisation assistant;central sterilisation assistant
horticulture manager;horticulturist
sign language teacher;sign language teacher
physician assistant;physician assistant
colourist;dye technician
higher education mathematics teacher;higher education mathematics teacher
foreign correspondent;foreign correspondent
physics teacher in higher education;physics teacher in higher education
staircase setter;staircase fitter
envelope maker;envelope maker
hygienic paper production worker;hygienic paper production worker
artillery officer;non-commissioned officer weapons systems technology
officer commanding troops;special operations command
bookbinding machine operator;binder
binding machine operator;binder in the printing industry
folding machine operator;sheet processor
debarker operator;debarker operator
Forester; employee in forestry
Forestry machinist;driver of forestry machines
timber frame builder;timber frame fitter
nailer machine operator;nail shooter
pallet maker;pallet maker
technical draughtsman;CAD designer
keyboard instrument builder;musical instrument maker (keyboards)
harpsichord builder;harpsichord builder
piano builder;piano maker
membranophone builder;music box builder
musical instrument repairer;organ repairer
stringed instrument builder;builder of stringed instruments
guitar builder;stringed instrument builder
harp builder;harp builder
violin maker;musical instrument builder
wind instrument builder;wind instrument maker
wood carver;craftsman wood carver
gamekeeper;gamekeeper
huntsman;trapper
builder of idiophones;builder of ratchet instruments
organ builder;pipe organ builder
builder of electronic musical instruments;synthesiser builder
forest ranger;park ranger
cultural programmer;concert programmer
music producer;music producer
lyricist;lyricist
lighting technician;lighting technician
cultural infrastructure manager;multifunctional cultural accommodation manager
forestry consultant;forestry specialist
landscape designer;garden architect
science teacher in secondary education;science teacher in secondary education
newsreader;ankerman
higher education biology teacher;higher education biology teacher
brushmaker;maker of brooms, brushes
framer;craftsman framer
editorial assistant;editorial assistant
print shop manager;head of print shop
pest controller;pest exterminator
soil survey technician;soil survey assistant
gemstone grinder;gemstone cutter
publishing editor;publishing editor
soil expert;soil investigator
officer air force;officer royal air force
environmental expert;environmental technician
airport environmental technician;airport environmental expert
aquaculture environmental analyst;aquaculture environmental specialist
environmental programme coordinator;head of environmental management
environmental engineer;environmental technician
driller;drill operator
drill manager;well constructor
tunnel boring machine operator;tunnel construction plant operator
employee funeral director;bearded worker
logistics and distribution manager;logistics director
cytology analyst;cytology analyst
drainage technician;well drilling employee
post office sales assistant;post office counter operator
animal shelter employee;animal washer
patient transport attendant;patient transport attendant
drainage engineer;hydraulic engineer
sign language interpreter;sign language interpreter
pet sitter;dog sitter
legal translator;lawyer-linguist
animal keeper;dog groomer
secondary school philosophy teacher;secondary school philosophy teacher
road construction machine operator;road construction worker
road worker;asphalt paver
dog trainer;dog handler
roadworks team leader;road inspector
post-mortem assistant;pathologist's assistant
solicitor's clerk;notary's clerk
asphalt laboratory technician;asphalt production technician
asphalt production operator;asphalt production plant operator
guide dog instructor;instructor guide dogs
nurse anaesthetist;qualified nurse anaesthetist
track maintenance engineer;track work supervisor
track laying engineer;track builder
communications manager;press relations manager
online community manager;social media manager
horse keeper;stable boy
equestrian instructor;equestrian instructor
horse trainer;horse trainer
equestrian centre manager;manager of an equestrian centre
public relations officer;public relations assistant
spokesperson;press officer
lobbyist;lobbyist
railway foreman;chief engineer job
railway project engineer;project manager engineer
animal trainer;dog trainer
contract engineer;procurement engineer
funeral director;funeral director
higher education music teacher;higher education music teacher
animal facility manager;animal pensioner
leisure facility manager;theme park manager
zoo collection manager;bird and mammal collection manager
technical communicator;technical writer
writer;writer
call centre employee;call centre employee
medical laboratory manager;head of medical laboratory
music teacher secondary school;music teacher secondary school
music teacher;music teacher
biomedical analyst;haematology analyst
animal care team leader;reptile manager
water supply network technician;water supply network technician
medical equipment technician;medical imaging technician
nurse manager;rehabilitation nurse specialist
healthcare facility manager;university hospital director
practice manager;medical practice manager
product manager;head of product development
maker of surgical instruments;orthopaedic instrument maker
dental instrument maker;dental toolmaker
electric installation technician domestic construction;home connections technician
team leader cable layers;main mechanic high-voltage cables
animal behaviourist;cat behaviourist
animal therapist;animal rehabilitation therapist
audiology shop manager;manager of specialist hearing aid shop
animal physiotherapist;animal therapist
food safety inspector;food inspector
agricultural inspector;fertiliser inspector
dental technician;dental technician
clinical perfusionist;pulmonary function assistant
optical instrument production manager;optical instrument maker
pile driver
contact centre manager;customer service manager
call centre manager;director of a call centre
lecturer engineering higher education;lecturer civil engineering higher education
lecturer of architecture in higher education;lecturer of civil engineering in higher education
professional sportsman;professional wrestler
professional teacher of electricity and energy in vocational education;teacher of electricity and energy in vocational education
professional lecturer in electronics and automation in vocational education;lecturer in electronics and automation in vocational education
computer science lecturer in higher education;lecturer in computer science
jewellery engraver;engraver (gold)
glass engraver;glass etcher
metal engraver;machine engraver
engraving machine operator;operator CNC engraving machine
deburrer;industrial deburrer
drummer;drum machine operator
welder;gas welder
higher education medicine teacher;higher education medicine teacher
hand mould maker at foundry;mould maker
foundry core maker;mould and core maker
metal forming machine operator;mould maker
metal founder;metal core maker
scallop caster;scallop caster
metal caster;casting machine operator
vocational teacher in agriculture, forestry and fisheries;teacher in agriculture, forestry and fisheries vocational education
robotic plant operator;welding robot controller
electron beam welder;electron beam welder
laser welder;laser welder
spot welder;spot welding machine operator
pipe welder;industrial assembly pipe fitter
moulding machine mechanic;moulding machine service mechanic
blast furnace operator;lavour processor
metal heat treatment worker;steel hardener
metallurgy engineer;mining engineer
specialist teacher in medical laboratory technology for vocational education;teacher in biomedical laboratory technology for vocational education
metal production manager;technical director of metal production
higher education dentistry teacher;higher education dentistry teacher
aircraft maintenance manager;aircraft maintenance coordinator
industrial maintenance supervisor;technical maintenance supervisor
mechanical engineer;mechanical engineer
wood assembly worker;wood products assembly worker
assembly worker rubber;assembly worker rubber products
assembly worker plastics;assembly worker plastics
assembly technician industrial equipment;assembly assistant industrial equipment
assembly technician mechatronics;assembly assistant mechatronics
assembly technician electrical equipment;assembly technician electrical devices
assembly worker electromechanical equipment;assembler electromechanical equipment
assembly worker metal;assembly worker metal products
drama teacher in higher education;lecturer in theatre
circus arts teacher;circus arts teacher
photography teacher;photography teacher
vehicle assembly technician;vehicle assembly technician
welding coordinator;foreman welding
printed circuit board assembly assistant;printed circuit board assistant
semiconductor industry technician;electronics cleanroom production operator
printed circuit board testing technician;printed circuit board testing technician
higher education pharmaceutical science lecturer;higher education pharmacy lecturer
higher education teacher in healthcare;higher education teacher in health sciences
assembly supervisor for rolling stock assembly;responsible for rolling stock assembly
rolling stock engineer;production rolling stock engineer
rolling stock engineer;technical rolling stock engineer
vocational teacher in beauty care;vocational teacher in beauty care
airport installations maintenance engineer;airport maintenance engineer
energy production operator;energy production plant operator
teacher of educational sciences in higher education;teacher of pedagogy in higher education
lecturer in social work in higher education;lecturer in social work
lecturer in vocational nursing and obstetrics;lecturer in vocational nursing and obstetrics
lecturer in nutritional science;lecturer in nutritional science
mechanical engineer;mechanical technician
rolling stock assembly technician;train component mechanic
pneumatic systems technician;pneumatic systems service technician
rotating machinery mechanic;rotating machinery technician
textile machinery mechanic;textile machinery mechanic
hydraulic machinery mechanic;hydraulic technician
forging machinery mechanic;maintenance mechanic for metal working installations
head of assembly;assembly technician
higher education space science lecturer;higher education space technology lecturer
higher education economics lecturer;lecturer in economic sciences
lecturer business administration higher education;lecturer business administration
lecturer in communication in higher education;lecturer in communication science in higher education
vocational education teacher in business administration;vocational education teacher in business administration
secondary school economics teacher;secondary school economics teacher
seamstress;stitcher
sewing machine operator;dressmaker (sewing)
campsite manager;campsite management
campsite manager;campsite hostess
textile process controller;textile process inspector
clothing quality inspector;garment quality controller
textile quality inspector;textile quality controller
biomedical laboratory assistant;employee pre-analytical department
spiritual nurse;army pandit
librarian;employee municipal library
bereavement counsellor;bereavement counsellor
biochemical laboratory assistant;biochemistry laboratory engineer
aircraft maintenance technician;aircraft maintenance technician
aircraft engine specialist;aircraft engine engineer
gas turbine engine maintenance engineer;gas turbine engine maintenance engineer
aircraft engine assembly technician;aircraft engine assembly worker
primary school teacher;teacher
teacher steiner education;teacher steiner school
Freinet education teacher;Freinet school teacher
Montessori school teacher;teacher at Montessori school
botany laboratory assistant;routine botany analyst
technician-chemist;chemistry assistant
laboratory technician leather goods;leather tester
textile chemical grade technician;textile laboratory technician
librarian;librarian
Physical technician;physical analyst
textile quality technician;laboratory technician testing
art handler;art transport, storage and packaging assistant
hairdresser's assistant;hairdresser's assistant
art restorer;furniture restorer
childminder;child supervisor
nanny;babysitter
nanny;nanny
cultural archive manager;archive manager
archivist;archive manager
care assistant;care assistant
information manager;documentalist
manager energy production company;manager hydropower operation
distribution manager specialised articles;supply chain planner specialised articles
biotech laboratory assistant;biotechnician
beauty salon manager;beauty salon manager
groundwater monitoring technician;groundwater analysis technician
bacteriological laboratory technician;bacteriological analyst
biological laboratory technician;technician-biologist in an industrial control laboratory
water quality analyst;water quality manager
home help;home care assistant
companion;lady companion
quality manager textile industry;compliance officer textile
textile industry production manager;textile workshop manager
chemistry technician;chemical industry manufacturing technician
embroiderer;hand embroiderer
textile goods manufacturer;tent maker
mattress maker;mattress maker
embroidery machine operator;garment embroiderer
protective clothing production worker;protective clothing production worker
roustabout;handler
roughneck;drill floor worker
childcare supervisor-coordinator;childcare network manager
rigger;rigger-mounted worker
derrickhand;derrick operator
social services manager;social services manager
dress adjuster;dress adjuster
education programme coordinator;training coordinator
educational officer;museum educator
day-care centre worker;crèche worker
Family counsellor;family counsellor assistant
administrative officer public administration;administrative assistant public administration
civil affairs officer;administrative officer for civil affairs
Education policy officer;education policy officer
Social worker, specialising in mental health care;social worker for alcohol, drug and gambling addicts
Helpline assistant;helpline assistant
Support worker for persons with disabilities;support worker for persons with physical disabilities
Housing counsellor;housing counsellor
Sports and recreation policy officer;leisure policy officer
games of chance inspector;inspector for the Games of Chance Act
guardian;youth guardian
youth care worker;youth care assistant
foster care supervisor;foster care counsellor
heating engineer;central heating installer
Social worker armed forces;company social worker armed forces
social worker alcohol, drug, gambling addicts;social worker drug addicts
crisis intervention social worker;crisis care social worker
marriage counsellor;marriage counsellor
benefit counsellor;benefit counsellor
family social worker;family social worker
social work consultant;social work consultant
team leader plumber;plumber foreman
bathroom fitter;bathroom fitter
mobile crane operator;mobile crane operator
gas distribution worker;gas distribution worker
water systems engineer;sanitary water treatment engineer
mud logger;drilling suspension analyst
heating and ventilation engineer;heating, ventilation and air-conditioning engineer
sales specialist;sales specialist
lift assembly team leader;lead lift technician
drilling engineer;drilling supervisor
Retail checkout department manager;retail checkout sales manager
on-site tour guide;on-site tour guide
pipeline maintenance engineer;water pipeline maintenance engineer
community work social worker;community worker
policy director recreation and tourism;tourism product development manager
manager oil and gas extraction; director gas production company
travel agent;salesperson in a travel agency
travel consultant;travel agent
elder worker;elder welfare worker
utility inspector;building inspector
policy officer social affairs and welfare;policy officer social domain
policy officer social services;policy officer social services
capsule filling machine operator;tablet machine operator
perfume production machine operator;perfume production machine operator
tablet machine operator;tablet machine operator
soap maker;soaper
chemical mixer;chemical process operator
paint grinder;paint mixer
paint mixer;paint master
pesticide applicator;pesticide applicator
varnisher;varnish preparer
cosmetics production machine operator;cosmetics production machine operator
blow moulding machine operator;blow extrusion operator
plastic heat treatment operator;plastic heat treatment operator
plastic roll former operator;plastic roll former operator
operator pultrusion machine;operator profile drawing
vacuum forming machine operator;thermoforming machine operator
die press operator; die press operator
plastic moulding machine operator;plastic moulding machine operator
wire winding machine operator;wire winding machine operator
injection moulding machine operator;injection moulding machine operator
optical discs injection machine operator;optical discs injection machine operator
production assistant insulating tubes;production assistant insulating tubes
plastic furniture machine operator;plastic furniture machine operator
canning and bottling line worker;canner
cigar packer;cigar manufacturer
process operator packaging and filling machine;machine operator filling machine
automatic assembly line operator;assembler
garment and textile assembly operator;full piece mechanic in garment industry
pulp machine operator;paper pulp preparer in the paper industry
lime kiln operator;lime kiln process operator
dry room assistant;dry house assistant
digester operator;digester operator
glaze kiln operator;ceramic kiln stealer
brick kiln operator;brick drying plant operator
tunnel kiln operator;tunnel dryer operator
brick oven operator;brick press operator
tow tower operator;fiberglass operator
steam plant operator;steam turbine operator
sprinkler technician;sprinkler installation technician
drain technician;drain pipe fitter
gas technician;technician gas
irrigation technician;sprinkler installation technician
irrigation technician;technician irrigation installations
plumber;maintenance plumber
piping systems engineer;piping engineer
