head;tail;relation
Biomolecule;gene;2
gridiron football player;athlete;1
athlete;gridiron football player;2
group;organisation;1
organisation;group;2
infrastructure;architectural structure;1
architectural structure;infrastructure;2
Legal Case;case;1
case;Legal Case;2
motorsport racer;athlete;1
athlete;motorsport racer;2
natural event;event;1
event;natural event;2
natural place;place;1
place;natural place;2
Organisation member;person;1
person;Organisation member;2
periodical literature;written work;1
written work;periodical literature;2
project;unit of work;1
unit of work;project;2
race;sports event;1
sports event;race;2
region;populated place;1
populated place;region;2
route of transportation;infrastructure;1
infrastructure;route of transportation;2
societal event;event;1
event;societal event;2
sports club;organisation;1
organisation;sports club;2
sports team season;sports season;1
sports season;sports team season;2
tournament;sports event;1
sports event;tournament;2
australian football Team;sports team;1
sports team;australian football Team;2
sports team;organisation;1
organisation;sports team;2
Biological database;Database;1
Database;Biological database;2
brewery;company;1
company;brewery;2
broadcast network;broadcaster;1
broadcaster;broadcast network;2
combination drug;drug;1
drug;combination drug;2
dam;infrastructure;1
infrastructure;dam;2
fashion;topical concept;1
topical concept;fashion;2
galaxy;celestial body;1
celestial body;galaxy;2
law firm;company;1
company;law firm;2
martial artist;athlete;1
athlete;martial artist;2
monoclonal antibody;drug;1
drug;monoclonal antibody;2
motorcycle;mean of transportation;1
mean of transportation;motorcycle;2
public transit system;company;1
company;public transit system;2
railway tunnel;route of transportation;1
route of transportation;railway tunnel;2
river;stream;1
stream;river;2
ski area;sport facility;1
sport facility;ski area;2
skyscraper;building;1
building;skyscraper;2
sport;activity;1
activity;sport;2
stadium;venue;1
venue;stadium;2
vaccine;drug;1
drug;vaccine;2
wine region;place;1
place;wine region;2
wrestler;athlete;1
athlete;wrestler;2
Youtuber;person;1
person;Youtuber;2
Gnetophytes;plant;1
plant;Gnetophytes;2
Aircraft;Product;1
Product;Aircraft;2
Automobile;Product;1
Product;Automobile;2
Band;Music Group;1
Music Group;Band;2
Band;Social Person;1
Social Person;Band;2
Film Festival;Festival;1
Festival;Film Festival;2
Historic Building;Landmarks Or Historical Buildings;1
Landmarks Or Historical Buildings;Historic Building;2
Historic Place;Landmarks Or Historical Buildings;1
Landmarks Or Historical Buildings;Historic Place;2
Holiday;Time Interval;1
Time Interval;Holiday;2
Locomotive;Product;1
Product;Locomotive;2
Musical Artist;Natural Person;1
Natural Person;Musical Artist;2
Musical Artist;Music Group;1
Music Group;Musical Artist;2
Ship;Product;1
Product;Ship;2
Song;Music Recording;1
Music Recording;Song;2
University;College Or University;1
College Or University;University;2
Weapon;Product;1
Product;Weapon;2
Time Period;Time Interval;1
Time Interval;Time Period;2
Group;Organization;1
Organization;Group;2
Stadium;Stadium Or Arena;1
Stadium Or Arena;Stadium;2
broadcast network;radio station;5
television station;broadcast network;5
television station;radio station;5
broadcast network;television station;5
radio station;broadcast network;5
case;project;5
project;case;5
cricket team;cycling team;5
cricket team;hockey team;5
basketball team;cycling team;5
basketball team;hockey team;5
australian football Team;cycling team;5
Aircraft;Locomotive;5
Ship;Weapon;5
Weapon;Automobile;5
Automobile;Ship;5
Ship;Aircraft;5
legislature;sports club;5
group;broadcaster;5
political party;sports league;5
sports team;company;5
legislature;government agency;5
historic building;hotel;5
skyscraper;restaurant;5
historic building;venue;5
historic building;hospital;5
venue;hospital;5
monoclonal antibody;combination drug;5
combination drug;vaccine;5
vaccine;combination drug;5
combination drug;monoclonal antibody;5
monoclonal antibody;vaccine;5
gene;enzyme;5
protein;gene;5
enzyme;protein;5
enzyme;gene;5
gene;protein;5
year in spaceflight;year;5
tenure;year;5
year;tenure;5
year;year in spaceflight;5
tenure;year in spaceflight;5
sports event;space mission;5
convention;sports event;5
film festival;sports event;5
space mission;convention;5
sports event;military conflict;5
settlement;region;5
region;settlement;5
rugby league;speedway league;5
volleyball league;cricket league;5
soccer league;speedway league;5
speedway league;golf league;5
golf league;videogames league;5
planet;star;5
constellation;star;5
constellation;asteroid;5
asteroid;constellation;5
asteroid;star;5
Comedy Group;Band;5
Band;Comedy Group;5
Holiday;Time Period;5
Time Period;Holiday;5
Historic Place;Historic Building;5
Historic Building;Historic Place;5
magazine;academic journal;5
newspaper;magazine;5
academic journal;newspaper;5
newspaper;academic journal;5
magazine;newspaper;5
motorsport racer;wrestler;5
rugby player;gridiron football player;5
motorsport racer;winter sport Player;5
wrestler;rugby player;5
martial artist;motorsport racer;5
software;television episode;5
television season;television show;5
television episode;website;5
radio program;movie;5
website;movie;5
roller coaster;water ride;5
water ride;roller coaster;5
Musical Artist;Band;5
Band;Musical Artist;5
presenter;Youtuber;5
Youtuber;artist;5
Organisation member;writer;5
royalty;sports manager;5
philosopher;military person;5
cultivar (cultivated variety);Gnetophytes;5
Gnetophytes;cultivar (cultivated variety);5
Gnetophytes;moss;5
Gnetophytes;ginkgo;5
cultivar (cultivated variety);ginkgo;5
reptile;person;5
insect;person;5
person;insect;5
person;reptile;5
insect;reptile;5
tournament;wrestling event;5
race;olympics;5
tournament;football match;5
race;wrestling event;5
football match;wrestling event;5
library;university;5
university;school;5
library;school;5
school;university;5
school;library;5
battery;weapon;5
engine;weapon;5
information appliance;battery;5
weapon;information appliance;5
information appliance;weapon;5
theatre;stadium;5
stadium;theatre;5
sales;sport;5
sales;game;5
game;sport;5
sport;sales;5
game;sales;5
road junction;road;5
bridge;road junction;5
railway line;road junction;5
railway line;bridge;5
railway line;railway tunnel;5
actor;musical artist;5
musical artist;actor;5
tennis tournament;golf tournament;5
soccer tournoment;golf tournament;5
Women's Tennis Association tournament;soccer tournoment;5
tennis tournament;soccer tournoment;5
golf tournament;Women's Tennis Association tournament;5
town;city;5
city district;village;5
city;village;5
city district;city;5
town;city district;5
record label;publisher;5
bank;law firm;5
law firm;public transit system;5
publisher;law firm;5
brewery;public transit system;5
wine region;historic place;5
protected area;natural place;5
park;protected area;5
historic place;natural place;5
protected area;park;5
natural event;societal event;5
societal event;Outbreak;5
societal event;natural event;5
Outbreak;natural event;5
Outbreak;societal event;5
type;fashion;5
fashion;genre;5
fashion;type;5
type;genre;5
genre;fashion;5
periodical literature;book;5
book;periodical literature;5
comic;book;5
play;book;5
play;comic;5
body of water;mountain;5
mountain;body of water;5
horse race;cycling race;5
cycling race;horse race;5
soccer club;rugby club;5
rugby club;soccer club;5
baseball season;national collegiate athletic association team season;5
soccer club season;football league season;5
soccer club season;baseball season;5
national collegiate athletic association team season;football league season;5
football league season;soccer club season;5
album;musical;5
album;song;5
musical;song;5
classical music composition;single;5
song;artist discography;5
amusement park attraction;military structure;5
military structure;amusement park attraction;5
amusement park attraction;monument;5
building;infrastructure;5
military structure;monument;5
power station;airport;5
route of transportation;airport;5
airport;station;5
station;power station;5
route of transportation;dam;5
motorsport season;sports team season;5
sports team season;motorsport season;5
drug;chemical compound;5
chemical compound;drug;5
motorcycle;aircraft;5
motorcycle;train;5
locomotive;automobile;5
ship;train;5
motorcycle;ship;5
