tail;head;relation
Investment Fund Managers;investment fund manager;exactMatch
Investment Fund Managers;venture capitalist;broadMatch
Industrial Production Managers;chemical plant manager;broadMatch
Industrial Production Managers;leather production manager;broadMatch
Industrial Production Managers;leather goods production manager;broadMatch
Industrial Production Managers;metal production manager;broadMatch
Industrial Production Managers;production supervisor;broadMatch
Industrial Production Managers;manufacturing manager;broadMatch
Industrial Production Managers;industrial production manager;exactMatch
Industrial Production Managers;footwear product development manager;broadMatch
Industrial Production Managers;footwear production manager;broadMatch
Industrial Production Managers;foundry manager;broadMatch
Industrial Production Managers;leather finishing operations manager;broadMatch
Industrial Production Managers;leather goods product development manager;broadMatch
Industrial Production Managers;metallurgical manager;broadMatch
Industrial Production Managers;packaging production manager;broadMatch
Quality Control Systems Managers;leather goods quality manager;broadMatch
Quality Control Systems Managers;textile quality manager;broadMatch
Quality Control Systems Managers;industrial quality manager;broadMatch
Quality Control Systems Managers;footwear quality manager;broadMatch
Quality Control Systems Managers;textile process controller;broadMatch
Geothermal Production Managers;power plant manager;narrowMatch
Biofuels Production Managers;chemical plant manager;narrowMatch
Biomass Power Plant Managers;power plant manager;narrowMatch
Hydroelectric Production Managers;power plant manager;narrowMatch
Purchasing Managers;purchasing manager;exactMatch
Purchasing Managers;leather raw materials purchasing manager;broadMatch
Purchasing Managers;textile sourcing merchandiser;broadMatch
Transportation, Storage, and Distribution Managers;road operations manager;broadMatch
Transportation, Storage, and Distribution Managers;machinery, industrial equipment, ships and aircraft distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;intermodal logistics manager;broadMatch
Transportation, Storage, and Distribution Managers;logistics and distribution manager;exactMatch
Transportation, Storage, and Distribution Managers;road transport division manager;broadMatch
Transportation, Storage, and Distribution Managers;rail logistics coordinator;broadMatch
Transportation, Storage, and Distribution Managers;warehouse manager;broadMatch
Transportation, Storage, and Distribution Managers;waste and scrap distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;agricultural machinery and equipment distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;agricultural raw materials, seeds and animal feeds distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;beverages distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;chemical products distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;china and glassware distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;clothing and footwear distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;coffee, tea, cocoa and spices distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;computers, computer peripheral equipment and software distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;dairy products and edible oils distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;electrical household appliances distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;electronic and telecommunications equipment and parts distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;finished leather warehouse manager;broadMatch
Transportation, Storage, and Distribution Managers;fish, crustaceans and molluscs distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;flowers and plants distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;fruit and vegetables distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;furniture, carpets and lighting equipment distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;hides, skins and leather products distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;household goods distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;import export manager;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in agricultural machinery and equipment;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in agricultural raw materials, seeds and animal feeds;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in beverages;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in chemical products;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in china and other glassware;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in clothing and footwear;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in coffee, tea, cocoa and spices;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in computers, computer peripheral equipment and software;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in dairy products and edible oils;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in electrical household appliances;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in electronic and telecommunications equipment and parts;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in fish, crustaceans and molluscs;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in flowers and plants;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in fruit and vegetables;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in furniture, carpets and lighting equipment;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in hardware, plumbing and heating equipment and supplies;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in hides, skins and leather products;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in household goods;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in live animals;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in machine tools;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in machinery, industrial equipment, ships and aircraft;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in meat and meat products;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in metals and metal ores;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in mining, construction and civil engineering machinery;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in office furniture;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in office machinery and equipment;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in perfume and cosmetics;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in pharmaceutical goods;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in sugar, chocolate and sugar confectionery;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in textile industry machinery;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in textiles and textile semi-finished and raw materials;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in tobacco products;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in waste and scrap;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in watches and jewellery;broadMatch
Transportation, Storage, and Distribution Managers;import export manager in wood and construction materials;broadMatch
Transportation, Storage, and Distribution Managers;inland water transport general manager;broadMatch
Transportation, Storage, and Distribution Managers;leather goods warehouse operator;broadMatch
Transportation, Storage, and Distribution Managers;live animals distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;maritime water transport general manager;broadMatch
Transportation, Storage, and Distribution Managers;meat and meat products distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;metals and metal ores distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;mining, construction and civil engineering machinery distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;perfume and cosmetics distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;pharmaceutical goods distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;pipelineÃÂ superintendent;broadMatch
Transportation, Storage, and Distribution Managers;port coordinator;broadMatch
Transportation, Storage, and Distribution Managers;rail operations manager;broadMatch
Transportation, Storage, and Distribution Managers;specialised goods distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;sugar, chocolate and sugar confectionery distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;textile industry machinery distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;textiles, textile semi-finished and raw materials distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;tobacco products distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;watches and jewellery distribution manager;broadMatch
Transportation, Storage, and Distribution Managers;wood and construction materials distribution manager;broadMatch
Supply Chain Managers;supply chain manager;exactMatch
Compensation and Benefits Managers;human resources manager;narrowMatch
Human Resources Managers;resource manager;narrowMatch
Human Resources Managers;human resources manager;exactMatch
Training and Development Managers;corporate training manager;exactMatch
Farmers, Ranchers, and Other Agricultural Managers;horticulture production manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;vineyard manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;crop production manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;farm manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;aquaculture hatchery manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;aquaculture mooring manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;aquaculture production manager;broadMatch
Farmers, Ranchers, and Other Agricultural Managers;aquaculture recirculation manager;broadMatch
Construction Managers;construction manager;exactMatch
Education and Childcare Administrators, Preschool and Daycare;child day care centre manager;exactMatch
Education Administrators, Kindergarten through Secondary;headteacher;exactMatch
Education Administrators, Kindergarten through Secondary;primary school head teacher;broadMatch
Education Administrators, Kindergarten through Secondary;secondary school head teacher;broadMatch
Education Administrators, Kindergarten through Secondary;deputy head teacher;broadMatch
Education Administrators, Kindergarten through Secondary;nursery school head teacher;broadMatch
Education Administrators, Postsecondary;head of higher education institutions;exactMatch
Education Administrators, Postsecondary;university department head;broadMatch
Education Administrators, All Other;arts education officer;broadMatch
Architectural and Engineering Managers;project manager;narrowMatch
Architectural and Engineering Managers;aviation communications and frequency coordination manager;broadMatch
Architectural and Engineering Managers;aviation surveillance and code coordination manager;broadMatch
Architectural and Engineering Managers;oil and gas production manager;broadMatch
Biofuels/Biodiesel Technology and Product Development Managers;product development manager;narrowMatch
Food Service Managers;restaurant manager;exactMatch
Food Service Managers;head sommelier;broadMatch
Gambling Managers;gambling manager;exactMatch
Gambling Managers;recreational facilities manager;narrowMatch
Entertainment and Recreation Managers, Except Gambling;cultural facilities manager;broadMatch
Entertainment and Recreation Managers, Except Gambling;sport facility manager;broadMatch
Entertainment and Recreation Managers, Except Gambling;cultural centre director;broadMatch
Entertainment and Recreation Managers, Except Gambling;recreational facilities manager;exactMatch
Entertainment and Recreation Managers, Except Gambling;recreation policy officer;broadMatch
Lodging Managers;camping ground manager;broadMatch
Lodging Managers;rooms division manager;broadMatch
Lodging Managers;accommodation manager;exactMatch
Lodging Managers;bed and breakfast operator;broadMatch
Medical and Health Services Managers;healthcare institution manager;exactMatch
Medical and Health Services Managers;elderly home manager;broadMatch
Natural Sciences Managers;research manager;exactMatch
Natural Sciences Managers;natural resources consultant;broadMatch
Natural Sciences Managers;research and development manager;exactMatch
Clinical Research Coordinators;research manager;narrowMatch
Property, Real Estate, and Community Association Managers;real estate leasing manager;broadMatch
Property, Real Estate, and Community Association Managers;property acquisitions manager;broadMatch
Property, Real Estate, and Community Association Managers;real estate manager;exactMatch
Property, Real Estate, and Community Association Managers;rental manager;broadMatch
Social and Community Service Managers;public housing manager;broadMatch
Social and Community Service Managers;social work supervisor;broadMatch
Social and Community Service Managers;social security administrator;broadMatch
Social and Community Service Managers;youth centre manager;broadMatch
Social and Community Service Managers;social services manager;exactMatch
Social and Community Service Managers;cultural policy officer;broadMatch
Social and Community Service Managers;enterprise development worker;broadMatch
Social and Community Service Managers;humanitarian advisor;broadMatch
Social and Community Service Managers;youth programme director;broadMatch
Emergency Management Directors;emergency response coordinator;exactMatch
Emergency Management Directors;fire commissioner;broadMatch
Emergency Management Directors;rescue centre manager;broadMatch
Emergency Management Directors;chief fire officer;broadMatch
Fitness and Wellness Coordinators;sport facility manager;exactMatch
Fitness and Wellness Coordinators;spa manager;broadMatch
Spa Managers;spa manager;exactMatch
Managers, All Other;ambassador;broadMatch
Managers, All Other;animal facility manager;broadMatch
Managers, All Other;clothing development manager;broadMatch
Managers, All Other;clothing operations manager;broadMatch
Managers, All Other;consul;broadMatch
Managers, All Other;contract manager;broadMatch
Managers, All Other;department manager;broadMatch
Managers, All Other;elderly home manager;broadMatch
Managers, All Other;food production manager;broadMatch
Managers, All Other;forecast manager;broadMatch
Managers, All Other;games development manager;broadMatch
Managers, All Other;ICT auditor manager;broadMatch
Managers, All Other;ICT business development manager;broadMatch
Managers, All Other;ICT vendor relationship manager;broadMatch
Managers, All Other;mine manager;broadMatch
Managers, All Other;mine production manager;broadMatch
Managers, All Other;product and services manager;broadMatch
Managers, All Other;product manager;broadMatch
Managers, All Other;publishing rights manager;broadMatch
Managers, All Other;quarry manager;broadMatch
Managers, All Other;railway station manager;broadMatch
Managers, All Other;retail entrepreneur;broadMatch
Regulatory Affairs Managers;regulatory affairs manager;exactMatch
Compliance Managers;director of compliance and information security in gambling;broadMatch
Compliance Managers;pipeline compliance coordinator;broadMatch
Wind Energy Operations Managers;power plant manager;narrowMatch
Wind Energy Development Managers;power plant manager;narrowMatch
Agents and Business Managers of Artists, Performers, and Athletes;talent agent;exactMatch
Buyers and Purchasing Agents, Farm Products;green coffee buyer;broadMatch
Buyers and Purchasing Agents, Farm Products;purchaser;narrowMatch
Buyers and Purchasing Agents, Farm Products;purchasing manager;narrowMatch
Purchasing Agents, Except Wholesale, Retail, and Farm Products;purchaser;exactMatch
Purchasing Agents, Except Wholesale, Retail, and Farm Products;ICT buyer;broadMatch
Purchasing Agents, Except Wholesale, Retail, and Farm Products;set buyer;broadMatch
Claims Adjusters, Examiners, and Investigators;loss adjuster;exactMatch
Insurance Appraisers, Auto Damage;loss adjuster;narrowMatch
Compliance Officers;licensing officer;exactMatch
Environmental Compliance Inspectors;environmental health inspector;exactMatch
Government Property Inspectors and Investigators;building inspector;narrowMatch
Coroners;coroner;exactMatch
Customs Brokers;import export specialist;exactMatch
Customs Brokers;import export specialist in china and other glassware;broadMatch
Customs Brokers;import export specialist in machinery, industrial equipment, ships and aircraft;broadMatch
Customs Brokers;import export specialist in  fish, crustaceans and molluscs;broadMatch
Customs Brokers;import export specialist in agricultural machinery and equipment;broadMatch
Customs Brokers;import export specialist in agricultural raw materials, seeds and animal feeds;broadMatch
Customs Brokers;import export specialist in beverages;broadMatch
Customs Brokers;import export specialist in chemical products;broadMatch
Customs Brokers;import export specialist in clothing and footwear;broadMatch
Customs Brokers;import export specialist in coffee, tea, cocoa and spices;broadMatch
Customs Brokers;import export specialist in computers, peripheral equipment and software;broadMatch
Customs Brokers;import export specialist in dairy products and edible oils;broadMatch
Customs Brokers;import export specialist in electrical household appliances;broadMatch
Customs Brokers;import export specialist in electronic and telecommunications equipment;broadMatch
Customs Brokers;import export specialist in flowers and plants;broadMatch
Customs Brokers;import export specialist in fruit and vegetables;broadMatch
Customs Brokers;import export specialist in furniture, carpets and lighting equipment;broadMatch
Customs Brokers;import export specialist in hardware, plumbing and heating equipment;broadMatch
Customs Brokers;import export specialist in hides, skins and leather products;broadMatch
Customs Brokers;import export specialist in household goods;broadMatch
Customs Brokers;import export specialist in live animals;broadMatch
Customs Brokers;import export specialist in machine tools;broadMatch
Customs Brokers;import export specialist in meat and meat products;broadMatch
Customs Brokers;import export specialist in metals and metal ores;broadMatch
Customs Brokers;import export specialist in mining, construction, civil engineering machinery;broadMatch
Customs Brokers;import export specialist in office furniture;broadMatch
Customs Brokers;import export specialist in office machinery and equipment;broadMatch
Customs Brokers;import export specialist in perfume and cosmetics;broadMatch
Customs Brokers;import export specialist in pharmaceutical goods;broadMatch
Customs Brokers;import export specialist in sugar, chocolate and sugar confectionery;broadMatch
Customs Brokers;import export specialist in textile industry machinery;broadMatch
Customs Brokers;import export specialist in textiles and textile semi-finished and raw materials;broadMatch
Customs Brokers;import export specialist in tobacco products;broadMatch
Customs Brokers;import export specialist in waste and scrap;broadMatch
Customs Brokers;import export specialist in watches and jewellery;broadMatch
Customs Brokers;import export specialist in wood and construction materials;broadMatch
Cost Estimators;manufacturing cost estimator;broadMatch
Human Resources Specialists;human resources assistant;broadMatch
Human Resources Specialists;human resources officer;exactMatch
Labor Relations Specialists;labour relations officer;exactMatch
Labor Relations Specialists;mediator;narrowMatch
Labor Relations Specialists;special-interest groups' official;broadMatch
Logisticians;logistics analyst;exactMatch
Logistics Engineers;logistics engineer;exactMatch
Logistics Engineers;logistics analyst;broadMatch
Logistics Analysts;logistics analyst;narrowMatch
Logistics Analysts;logistics engineer;narrowMatch
Project Management Specialists;ICT project manager;broadMatch
Project Management Specialists;project manager;exactMatch
Meeting, Convention, and Event Planners;event manager;exactMatch
Meeting, Convention, and Event Planners;wedding planner;broadMatch
Meeting, Convention, and Event Planners;venue director;broadMatch
Compensation, Benefits, and Job Analysis Specialists;occupational analyst;exactMatch
Compensation, Benefits, and Job Analysis Specialists;relocation officer;broadMatch
Training and Development Specialists;ICT trainer;broadMatch
Market Research Analysts and Marketing Specialists;search engine optimisation expert;broadMatch
Market Research Analysts and Marketing Specialists;marketing consultant;broadMatch
Market Research Analysts and Marketing Specialists;market research interviewer;broadMatch
Market Research Analysts and Marketing Specialists;market research analyst;broadMatch
Market Research Analysts and Marketing Specialists;pricing specialist;broadMatch
Market Research Analysts and Marketing Specialists;tourism policy director;broadMatch
Search Marketing Strategists;search engine optimisation expert;exactMatch
Business Operations Specialists, All Other;location manager;broadMatch
Business Continuity Planners;ICT disaster recovery analyst;exactMatch
Sustainability Specialists;environmental programme coordinator;exactMatch
Sustainability Specialists;ICT environmental manager;broadMatch
Online Merchants;eBusiness manager;exactMatch
Online Merchants;online sales channel manager;broadMatch
Online Merchants;wholesale merchant in computers, computer peripheral equipment and software;broadMatch
Online Merchants;online marketer;broadMatch
Security Management Specialists;security consultant;exactMatch
Accountants and Auditors;financial auditor;broadMatch
Accountants and Auditors;accounting analyst;broadMatch
Accountants and Auditors;audit supervisor;broadMatch
Accountants and Auditors;bookkeeper;broadMatch
Accountants and Auditors;accountant;exactMatch
Accountants and Auditors;IT auditor;broadMatch
Appraisers of Personal and Business Property;personal property appraiser;exactMatch
Appraisers and Assessors of Real Estate;property appraiser;exactMatch
Budget Analysts;budget manager;broadMatch
Budget Analysts;budget analyst;exactMatch
Credit Analysts;credit analyst;exactMatch
Credit Analysts;loan officer;broadMatch
Credit Analysts;credit risk analyst;broadMatch
Financial and Investment Analysts;investment analyst;broadMatch
Financial and Investment Analysts;financial analyst;broadMatch
Financial and Investment Analysts;securities analyst;broadMatch
Financial and Investment Analysts;business valuer;broadMatch
Personal Financial Advisors;financial planner;exactMatch
Insurance Underwriters;insurance underwriter;exactMatch
Insurance Underwriters;property insurance underwriter;broadMatch
Financial Risk Specialists;financial risk manager;exactMatch
Financial Examiners;financial auditor;exactMatch
Credit Counselors;student financial support coordinator;broadMatch
Credit Counselors;credit adviser;exactMatch
Loan Officers;loan officer;exactMatch
Loan Officers;mortgage loan underwriter;broadMatch
Loan Officers;credit analyst;broadMatch
Loan Officers;credit adviser;broadMatch
Tax Examiners and Collectors, and Revenue Agents;tax compliance officer;exactMatch
Tax Examiners and Collectors, and Revenue Agents;tax clerk;broadMatch
Tax Examiners and Collectors, and Revenue Agents;tax inspector;broadMatch
Tax Preparers;tax advisor;exactMatch
Tax Preparers;accountant;narrowMatch
Financial Specialists, All Other;venture capitalist;broadMatch
Financial Quantitative Analysts;securities analyst;narrowMatch
Financial Quantitative Analysts;financial analyst;narrowMatch
Financial Quantitative Analysts;business valuer;broadMatch
Fraud Examiners, Investigators and Analysts;financial fraud examiner;exactMatch
Computer Systems Analysts;ICT system analyst;exactMatch
Computer Systems Analysts;ICT system integration consultant;broadMatch
Information Security Analysts;ICT security engineer;exactMatch
Information Security Analysts;ICT resilience manager;narrowMatch
Information Security Analysts;embedded systems security engineer;broadMatch
Computer and Information Research Scientists;computer scientist;exactMatch
Computer Network Support Specialists;ICT network administrator;exactMatch
Computer Network Support Specialists;ICT network technician;broadMatch
Computer User Support Specialists;ICT help desk agent;exactMatch
Computer Network Architects;ICT network architect;broadMatch
Computer Network Architects;ICT network engineer;broadMatch
Computer Network Architects;ICT capacity planner;broadMatch
Telecommunications Engineering Specialists;telecommunications engineer;exactMatch
Telecommunications Engineering Specialists;telecommunications engineering technician;broadMatch
Telecommunications Engineering Specialists;ICT network engineer;broadMatch
Database Administrators;database administrator;exactMatch
Database Administrators;database developer;broadMatch
Database Administrators;database integrator;broadMatch
Database Administrators;database designer;broadMatch
Database Administrators;data warehouse designer;broadMatch
Database Architects;database designer;broadMatch
Database Architects;database integrator;broadMatch
Database Architects;data warehouse designer;broadMatch
Database Architects;database administrator;broadMatch
Data Warehousing Specialists;data warehouse designer;exactMatch
Data Warehousing Specialists;database integrator;broadMatch
Data Warehousing Specialists;database designer;broadMatch
Data Warehousing Specialists;database developer;broadMatch
Data Warehousing Specialists;database administrator;broadMatch
Network and Computer Systems Administrators;ICT network administrator;broadMatch
Network and Computer Systems Administrators;ICT system administrator;broadMatch
Software Developers;ICT application developer;broadMatch
Software Developers;software developer;broadMatch
Software Developers;ICT system developer;broadMatch
Software Developers;software architect;broadMatch
Software Developers;software analyst;broadMatch
Software Developers;industrial mobile devices software developer;broadMatch
Software Developers;database developer;broadMatch
Software Developers;mobile application developer;broadMatch
Software Developers;user interface developer;broadMatch
Software Developers;embedded systems software developer;broadMatch
Software Developers;digital games developer;broadMatch
Software Developers;gambling games developer;broadMatch
Software Quality Assurance Analysts and Testers;software tester;exactMatch
Software Quality Assurance Analysts and Testers;ICT integration tester;broadMatch
Software Quality Assurance Analysts and Testers;ICT system tester;broadMatch
Software Quality Assurance Analysts and Testers;ICT accessibility tester;broadMatch
Software Quality Assurance Analysts and Testers;ICT usability tester;broadMatch
Software Quality Assurance Analysts and Testers;digital games tester;broadMatch
Web Developers;web developer;exactMatch
Web and Digital Interface Designers;user interface designer;exactMatch
Video Game Designers;digital games designer;exactMatch
Video Game Designers;gambling games designer;broadMatch
Web Administrators;webmaster;exactMatch
Geographic Information Systems Technologists and Technicians;geographic information systems specialist;exactMatch
Document Management Specialists;document management officer;exactMatch
Document Management Specialists;ICT documentation manager;broadMatch
Document Management Specialists;file clerk;broadMatch
Penetration Testers;ethical hacker;exactMatch
Information Security Engineers;embedded systems security engineer;broadMatch
Digital Forensics Analysts;digital forensics expert;exactMatch
Blockchain Engineers;blockchain architect;broadMatch
Blockchain Engineers;blockchain developer;broadMatch
Computer Systems Engineers/Architects;ICT system architect;exactMatch
Computer Systems Engineers/Architects;software architect;broadMatch
Computer Systems Engineers/Architects;integration engineer;broadMatch
Computer Systems Engineers/Architects;cloud engineer;broadMatch
Computer Systems Engineers/Architects;ICT network engineer;broadMatch
Computer Systems Engineers/Architects;blockchain architect;broadMatch
Computer Systems Engineers/Architects;enterprise architect;broadMatch
Computer Systems Engineers/Architects;ICT change and configuration manager;broadMatch
Information Technology Project Managers;ICT project manager;exactMatch
Information Technology Project Managers;project manager;narrowMatch
Information Technology Project Managers;programme manager;narrowMatch
Information Technology Project Managers;ICT consultant;broadMatch
Actuaries;actuarial assistant;broadMatch
Actuaries;insurance rating analyst;broadMatch
Actuaries;insurance risk consultant;broadMatch
Actuaries;actuarial consultant;exactMatch
Mathematicians;mathematician;exactMatch
Statisticians;biometrician;broadMatch
Statisticians;statistician;exactMatch
Biostatisticians;statistician;narrowMatch
Biostatisticians;biometrician;exactMatch
Data Scientists;data scientist;exactMatch
Data Scientists;ICT intelligent systems designer;broadMatch
Business Intelligence Analysts;business analyst;exactMatch
Business Intelligence Analysts;data analyst;narrowMatch
Mathematical Science Occupations, All Other;gambling games developer;broadMatch
Bioinformatics Technicians;scientific laboratory technician;narrowMatch
Architects, Except Landscape and Naval;architect;exactMatch
Architects, Except Landscape and Naval;interior architect;broadMatch
Landscape Architects;landscape architect;exactMatch
Landscape Architects;landscape designer;broadMatch
Cartographers and Photogrammetrists;cartographer;broadMatch
Surveyors;mine surveying technician;broadMatch
Surveyors;mine surveyor;broadMatch
Surveyors;hydrographic surveyor;broadMatch
Aerospace Engineers;flight test engineer;broadMatch
Aerospace Engineers;material stress analyst;broadMatch
Aerospace Engineers;aerospace engineering drafter;broadMatch
Aerospace Engineers;aerospace engineer;exactMatch
Agricultural Engineers;agricultural engineer;exactMatch
Agricultural Engineers;agricultural equipment design engineer;broadMatch
Bioengineers and Biomedical Engineers;bioengineer;exactMatch
Bioengineers and Biomedical Engineers;biomedical engineer;broadMatch
Chemical Engineers;chemical engineer;exactMatch
Chemical Engineers;biochemical engineer;broadMatch
Civil Engineers;civil engineer;exactMatch
Civil Engineers;construction engineer;broadMatch
Civil Engineers;transport engineer;broadMatch
Civil Engineers;drainage engineer;broadMatch
Civil Engineers;pipeline engineer;broadMatch
Transportation Engineers;transport engineer;exactMatch
Transportation Engineers;civil engineer;narrowMatch
Water/Wastewater Engineers;water engineer;broadMatch
Water/Wastewater Engineers;wastewater engineer;broadMatch
Water/Wastewater Engineers;drainage engineer;broadMatch
Computer Hardware Engineers;computer hardware engineer;exactMatch
Computer Hardware Engineers;electronics engineer;narrowMatch
Electrical Engineers;power electronics engineer;broadMatch
Electrical Engineers;electromechanical engineer;broadMatch
Electrical Engineers;electric power generation engineer;broadMatch
Electrical Engineers;electromagnetic engineer;broadMatch
Electrical Engineers;electrical engineer;exactMatch
Electrical Engineers;mine electrical engineer;broadMatch
Electrical Engineers;power distribution engineer;broadMatch
Electrical Engineers;substation engineer;broadMatch
Electronics Engineers, Except Computer;electronics engineer;exactMatch
Electronics Engineers, Except Computer;sensor engineer;broadMatch
Electronics Engineers, Except Computer;electronics engineering technician;broadMatch
Electronics Engineers, Except Computer;power electronics engineer;broadMatch
Electronics Engineers, Except Computer;integrated circuit design engineer;broadMatch
Electronics Engineers, Except Computer;microelectronics engineer;broadMatch
Electronics Engineers, Except Computer;sensor engineering technician;broadMatch
Electronics Engineers, Except Computer;predictive maintenance expert;broadMatch
Radio Frequency Identification Device Specialists;telecommunications analyst;broadMatch
Environmental Engineers;environmental engineer;exactMatch
Environmental Engineers;environmental mining engineer;broadMatch
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors;health and safety engineer;exactMatch
Fire-Prevention and Protection Engineers;fire prevention and protection engineer;exactMatch
Industrial Engineers;industrial engineer;broadMatch
Industrial Engineers;production engineer;broadMatch
